sample_id,noise,p,state_syndrome,true_error,action,corrected_error,next_syndrome,reward,success
2926,biased,0.09,1110,IIYII,IYIII,IYYII,0011,-1,0
2927,biased,0.09,0000,IIIII,IIIII,IIIII,0000,1,1
2928,biased,0.09,0000,IIIII,IIIII,IIIII,0000,1,1
2929,biased,0.09,1000,IXIII,IXIII,IIIII,0000,1,1
2930,biased,0.09,0000,IIIII,IIIII,IIIII,0000,1,1
2931,biased,0.09,1100,IIXII,IIIYI,IIXYI,0011,-1,0
2932,biased,0.09,0000,IIIII,IIIII,IIIII,0000,1,1
2933,biased,0.09,1101,IYIII,IZIII,IXIII,1000,-1,0
2934,biased,0.09,0000,IIIII,IIIII,IIIII,0000,1,1
2935,biased,0.09,0111,IIIIY,IXIII,IXIIY,1111,-1,0
2936,biased,0.09,0000,IIIII,IIIII,IIIII,0000,1,1
2937,biased,0.09,0000,IIIII,IIIII,IIIII,0000,1,1
2938,biased,0.09,1101,IYIII,IZIII,IXIII,1000,-1,0
2939,biased,0.09,0000,IIIII,IIIII,IIIII,0000,1,1
2940,biased,0.09,0000,IIIII,IIIII,IIIII,0000,1,1
2941,biased,0.09,0100,IIIIZ,IZIII,IZIIZ,0001,-1,0
2942,biased,0.09,0000,IIIII,IIIII,IIIII,0000,1,1
2943,biased,0.09,0000,IIIII,IIIII,IIIII,0000,1,1
2944,biased,0.09,0000,IIIII,IIIII,IIIII,0000,1,1
2945,biased,0.09,0000,IIIII,IIIII,IIIII,0000,1,1
2946,biased,0.09,0000,IIIII,IIIII,IIIII,0000,1,1
2947,biased,0.09,0000,IIIII,IIIII,IIIII,0000,1,1
2948,biased,0.09,0000,IIIII,IIIII,IIIII,0000,1,1
2949,biased,0.09,0000,IIIII,IIIII,IIIII,0000,1,1
2950,biased,0.09,1000,IXIII,IXIII,IIIII,0000,1,1
2951,biased,0.09,0011,IIIIX,IIIIX,IIIII,0000,1,1
2952,biased,0.09,0000,IIIII,IIIII,IIIII,0000,1,1
2953,biased,0.09,0110,IIIXI,IIYII,IIYXI,1000,-1,0
2954,biased,0.09,0000,IIIII,IIIII,IIIII,0000,1,1
2955,biased,0.09,0000,IIIII,IIIII,IIIII,0000,1,1
