sample_id,noise,p,state_syndrome,true_error,action,corrected_error,next_syndrome,reward,success
2059,bitflip,0.07,0000,IIIII,IIIII,IIIII,0000,1,1
2060,bitflip,0.07,0000,IIIII,IIIII,IIIII,0000,1,1
2061,bitflip,0.07,0000,IIIII,IIIII,IIIII,0000,1,1
2062,bitflip,0.07,0000,IIIII,IIIII,IIIII,0000,1,1
2063,bitflip,0.07,0000,IIIII,IIIII,IIIII,0000,1,1
2064,bitflip,0.07,0000,IIIII,IIIII,IIIII,0000,1,1
2065,bitflip,0.07,0000,IIIII,IIIII,IIIII,0000,1,1
2066,bitflip,0.07,0000,IIIII,IIIII,IIIII,0000,1,1
2067,bitflip,0.07,0000,IIIII,IIIII,IIIII,0000,1,1
2068,bitflip,0.07,0000,IIIII,IIIII,IIIII,0000,1,1
2069,bitflip,0.07,0000,IIIII,IIIII,IIIII,0000,1,1
2070,bitflip,0.07,0000,IIIII,IIIII,IIIII,0000,1,1
2071,bitflip,0.07,0001,XIIII,XIIII,IIIII,0000,1,1
2072,bitflip,0.07,0110,IIIXI,IIIXI,IIIII,0000,1,1
2073,bitflip,0.07,0000,IIIII,IIIII,IIIII,0000,1,1
2074,bitflip,0.07,0011,IIIIX,IZIII,IZIIX,0110,-1,0
2075,bitflip,0.07,1000,IXIII,IXIII,IIIII,0000,1,1
2076,bitflip,0.07,0000,IIIII,IIIII,IIIII,0000,1,1
2077,bitflip,0.07,0000,IIIII,IIIII,IIIII,0000,1,1
2078,bitflip,0.07,0000,IIIII,IIIII,IIIII,0000,1,1
2079,bitflip,0.07,1000,IXIII,IXIII,IIIII,0000,1,1
2080,bitflip,0.07,0000,IIIII,IIIII,IIIII,0000,1,1
2081,bitflip,0.07,0000,IIIII,IIIII,IIIII,0000,1,1
2082,bitflip,0.07,0000,IIIII,IIIII,IIIII,0000,1,1
2083,bitflip,0.07,0000,IIIII,IIIII,IIIII,0000,1,1
2084,bitflip,0.07,0000,IIIII,IIIII,IIIII,0000,1,1
2085,bitflip,0.07,0000,IIIII,IIIII,IIIII,0000,1,1
