sample_id,noise,p,state_syndrome,true_error,action,corrected_error,next_syndrome,reward,success
2762,depolarizing,0.05,0011,IIIIX,IXIII,IXIIX,1011,-1,0
2763,depolarizing,0.05,0000,IIIII,IIIII,IIIII,0000,1,1
2764,depolarizing,0.05,1011,YIIII,YIIII,IIIII,0000,1,1
2765,depolarizing,0.05,1011,YIIII,YIIII,IIIII,0000,1,1
2766,depolarizing,0.05,0001,XIIII,XIIII,IIIII,0000,1,1
2767,depolarizing,0.05,0000,IIIII,IIIII,IIIII,0000,1,1
2768,depolarizing,0.05,1101,IYIII,IIIIY,IYIIY,1010,-1,0
2769,depolarizing,0.05,0000,IIIII,IIIII,IIIII,0000,1,1
2770,depolarizing,0.05,0000,IIIII,IIIII,IIIII,0000,1,1
2771,depolarizing,0.05,0000,IIIII,IIIII,IIIII,0000,1,1
2772,depolarizing,0.05,0011,IIIIX,IXIII,IXIIX,1011,-1,0
2773,depolarizing,0.05,0000,IIIII,IIIII,IIIII,0000,1,1
2774,depolarizing,0.05,0010,IIZII,YIIII,YIZII,1001,-1,0
2775,depolarizing,0.05,0000,IIIII,IIIII,IIIII,0000,1,1
2776,depolarizing,0.05,1111,IIIYI,IIYII,IIYYI,0001,-1,0
2777,depolarizing,0.05,0000,IIIII,IIIII,IIIII,0000,1,1
2778,depolarizing,0.05,0000,IIIII,IIIII,IIIII,0000,1,1
2779,depolarizing,0.05,0000,IIIII,IIIII,IIIII,0000,1,1
2780,depolarizing,0.05,0000,IIIII,IIIII,IIIII,0000,1,1
2781,depolarizing,0.05,0111,YIXII,IXIII,YXXII,1111,-1,0
2782,depolarizing,0.05,0000,IIIII,IIIII,IIIII,0000,1,1
2783,depolarizing,0.05,0000,IIIII,IIIII,IIIII,0000,1,1
2784,depolarizing,0.05,0110,IIIXI,IIIIY,IIIXY,0001,-1,0
2785,depolarizing,0.05,0000,IIIII,IIIII,IIIII,0000,1,1
2786,depolarizing,0.05,1001,IIIZI,IXIII,IXIZI,0001,-1,0
2787,depolarizing,0.05,1001,IIIZI,IXIII,IXIZI,0001,-1,0
2788,depolarizing,0.05,1001,IIIZI,IXIII,IXIZI,0001,-1,0
2789,depolarizing,0.05,0000,IIIII,IIIII,IIIII,0000,1,1
2790,depolarizing,0.05,1001,IIIZI,IXIII,IXIZI,0001,-1,0
2791,depolarizing,0.05,0000,IIIII,IIIII,IIIII,0000,1,1
2792,depolarizing,0.05,0000,IIIII,IIIII,IIIII,0000,1,1
2793,depolarizing,0.05,0000,IIIII,IIIII,IIIII,0000,1,1
2794,depolarizing,0.05,0010,IIZII,YIIII,YIZII,1001,-1,0
2795,depolarizing,0.05,1101,IYIII,IIIIY,IYIIY,1010,-1,0
2796,depolarizing,0.05,0000,IIIII,IIIII,IIIII,0000,1,1
2797,depolarizing,0.05,0000,IIIII,IIIII,IIIII,0000,1,1
2798,depolarizing,0.05,0000,IIIII,IIIII,IIIII,0000,1,1
2799,depolarizing,0.05,0011,IIIIX,IXIII,IXIIX,1011,-1,0
2800,depolarizing,0.05,0000,IIIII,IIIII,IIIII,0000,1,1
2801,depolarizing,0.05,1001,IIYIY,IXIII,IXYIY,0001,-1,0
2802,depolarizing,0.05,0000,IIIII,IIIII,IIIII,0000,1,1
2803,depolarizing,0.05,0000,IIIII,IIIII,IIIII,0000,1,1
2804,depolarizing,0.05,0000,IIIII,IIIII,IIIII,0000,1,1
2805,depolarizing,0.05,1111,IIIYI,IIYII,IIYYI,0001,-1,0
2806,depolarizing,0.05,1000,IXIII,IXIII,IIIII,0000,1,1
2807,depolarizing,0.05,0000,IIIII,IIIII,IIIII,0000,1,1
2808,depolarizing,0.05,0000,IIIII,IIIII,IIIII,0000,1,1
2809,depolarizing,0.05,0000,IIIII,IIIII,IIIII,0000,1,1
2810,depolarizing,0.05,0000,IIIII,IIIII,IIIII,0000,1,1
2811,depolarizing,0.05,0000,IIIII,IIIII,IIIII,0000,1,1
2812,depolarizing,0.05,1111,IIIYI,IIYII,IIYYI,0001,-1,0
2813,depolarizing,0.05,0000,IIIII,IIIII,IIIII,0000,1,1
2814,depolarizing,0.05,0000,IIIII,IIIII,IIIII,0000,1,1
2815,depolarizing,0.05,0000,IIIII,IIIII,IIIII,0000,1,1
2816,depolarizing,0.05,0000,IIIII,IIIII,IIIII,0000,1,1
2817,depolarizing,0.05,0000,IIIII,IIIII,IIIII,0000,1,1
2818,depolarizing,0.05,0000,IIIII,IIIII,IIIII,0000,1,1
2819,depolarizing,0.05,0000,IIIII,IIIII,IIIII,0000,1,1
2820,depolarizing,0.05,0000,IIIII,IIIII,IIIII,0000,1,1
2821,depolarizing,0.05,0000,IIIII,IIIII,IIIII,0000,1,1
